Id,Label,Degree Centrality,Betweenness Centrality,Closeness Centrality,Eigenvector Centrality,Local Clustering Coefficient,Number of Connections (Degree),Community_Id
Stephen Munisteri,Stephen Munisteri,0.0033112582781456954,0.0,0.412568306010929,0.050516589386534236,0.0,1,0
Richard Lefrak,Richard Lefrak,0.0033112582781456954,0.0,0.412568306010929,0.050516589386534236,0.0,1,0
Steven Mnuchin,Steven Mnuchin,0.009933774834437087,0.013223031396448922,0.41483516483516486,0.05105238096640595,0.0,3,19
Linda Bean,Linda Bean,0.0033112582781456954,0.0,0.412568306010929,0.050516589386534236,0.0,1,0
Mike Pence,Mike Pence,0.04304635761589404,0.030124016339941176,0.4247538677918425,0.08168753102940059,0.08974358974358974,13,1
Sebastian Gorka,Sebastian Gorka,0.0033112582781456954,0.0,0.412568306010929,0.050516589386534236,0.0,1,0
Rupert Murdoch,Rupert Murdoch,0.009933774834437087,0.005742447910937053,0.4154057771664374,0.05200437252171224,0.0,3,14
Mary T. Barra,Mary T. Barra,0.0033112582781456954,0.0,0.412568306010929,0.050516589386534236,0.0,1,0
Rebekah Mercer,Rebekah Mercer,0.016556291390728478,0.006666519988559106,0.4188626907073509,0.0647907799018882,0.5,5,31
Alexander Gray,Alexander Gray,0.0033112582781456954,0.0,0.412568306010929,0.050516589386534236,0.0,1,0
Robert A. Iger,Robert A. Iger,0.0033112582781456954,0.0,0.412568306010929,0.050516589386534236,0.0,1,0
Anthony Scaramucci,Anthony Scaramucci,0.006622516556291391,0.006622516556291391,0.4136986301369863,0.0507830719858521,0.0,2,21
Gary Cohn,Gary Cohn,0.0033112582781456954,0.0,0.412568306010929,0.050516589386534236,0.0,1,0
Maryanne Trump Barry,Maryanne Trump Barry,0.006622516556291391,0.0032782557039449075,0.4136986301369863,0.0510734288001972,0.0,2,24
Keith Schiller,Keith Schiller,0.0033112582781456954,0.0,0.412568306010929,0.050516589386534236,0.0,1,0
Peter Thiel,Peter Thiel,0.0033112582781456954,0.0,0.412568306010929,0.050516589386534236,0.0,1,0
Sheri A. Dillon,Sheri A. Dillon,0.0033112582781456954,0.0,0.412568306010929,0.050516589386534236,0.0,1,0
Carlos Diaz-rosillo,Carlos Diaz-rosillo,0.0033112582781456954,0.0,0.412568306010929,0.050516589386534236,0.0,1,0
Brad Parscale,Brad Parscale,0.006622516556291391,0.0,0.4131326949384405,0.054461670513640634,1.0,2,0
Scott Gast,Scott Gast,0.0033112582781456954,0.0,0.412568306010929,0.050516589386534236,0.0,1,0
John Destefano,John Destefano,0.0033112582781456954,0.0,0.412568306010929,0.050516589386534236,0.0,1,0
Nikki Haley,Nikki Haley,0.0033112582781456954,0.0,0.412568306010929,0.050516589386534236,0.0,1,0
Noel Francisco,Noel Francisco,0.0033112582781456954,0.0,0.412568306010929,0.050516589386534236,0.0,1,0
Joseph Lai,Joseph Lai,0.0033112582781456954,0.0,0.412568306010929,0.050516589386534236,0.0,1,0
Andrew D. Koenig,Andrew D. Koenig,0.0033112582781456954,0.0,0.412568306010929,0.050516589386534236,0.0,1,0
Hope Hicks,Hope Hicks,0.0033112582781456954,0.0,0.412568306010929,0.050516589386534236,0.0,1,0
David S. Cordish,David S. Cordish,0.006622516556291391,0.0,0.4131326949384405,0.054461670513640634,1.0,2,0
Cui Tiankai,Cui Tiankai,0.0033112582781456954,0.0,0.3081632653061224,0.004529579676389639,0.0,1,25
Rob Speyer,Rob Speyer,0.0033112582781456954,0.0,0.3081632653061224,0.004529579676389639,0.0,1,25
Avram Lebor,Avram Lebor,0.0033112582781456954,0.0,0.3081632653061224,0.004529579676389639,0.0,1,25
